best m,c is 1.400000,11.370000 with error 12.112877 in direction 0
best m,c is 1.400000,11.380000 with error 12.110182 in direction 0
best m,c is 1.400000,11.390000 with error 12.107496 in direction 0
best m,c is 1.400000,11.400000 with error 12.104817 in direction 0
best m,c is 1.400000,11.410000 with error 12.102145 in direction 0
best m,c is 1.400000,11.420000 with error 12.099482 in direction 0
best m,c is 1.400000,11.430000 with error 12.096826 in direction 0
best m,c is 1.400000,11.440000 with error 12.094178 in direction 0
best m,c is 1.400000,11.450000 with error 12.091537 in direction 0
best m,c is 1.400000,11.460000 with error 12.088904 in direction 0
best m,c is 1.400000,11.470000 with error 12.086279 in direction 0
best m,c is 1.400000,11.480000 with error 12.083662 in direction 0
best m,c is 1.390000,11.490000 with error 12.080861 in direction 7
best m,c is 1.390000,11.500000 with error 12.077856 in direction 0
best m,c is 1.390000,11.510000 with error 12.074859 in direction 0
best m,c is 1.390000,11.520000 with error 12.071869 in direction 0
best m,c is 1.390000,11.530000 with error 12.068887 in direction 0
best m,c is 1.390000,11.540000 with error 12.065912 in direction 0
best m,c is 1.390000,11.550000 with error 12.062945 in direction 0
best m,c is 1.390000,11.560000 with error 12.059985 in direction 0
best m,c is 1.390000,11.570000 with error 12.057033 in direction 0
best m,c is 1.390000,11.580000 with error 12.054088 in direction 0
best m,c is 1.390000,11.590000 with error 12.051152 in direction 0
best m,c is 1.390000,11.600000 with error 12.048222 in direction 0
best m,c is 1.390000,11.610000 with error 12.045300 in direction 0
best m,c is 1.390000,11.620000 with error 12.042386 in direction 0
best m,c is 1.390000,11.630000 with error 12.039480 in direction 0
best m,c is 1.390000,11.640000 with error 12.036581 in direction 0
best m,c is 1.390000,11.650000 with error 12.033689 in direction 0
best m,c is 1.390000,11.660000 with error 12.030806 in direction 0
best m,c is 1.390000,11.670000 with error 12.027929 in direction 0
best m,c is 1.390000,11.680000 with error 12.025061 in direction 0
best m,c is 1.390000,11.690000 with error 12.022200 in direction 0
best m,c is 1.390000,11.700000 with error 12.019347 in direction 0
best m,c is 1.390000,11.710000 with error 12.016501 in direction 0
best m,c is 1.390000,11.720000 with error 12.013663 in direction 0
best m,c is 1.390000,11.730000 with error 12.010833 in direction 0
best m,c is 1.390000,11.740000 with error 12.008011 in direction 0
best m,c is 1.390000,11.750000 with error 12.005196 in direction 0
best m,c is 1.390000,11.760000 with error 12.002388 in direction 0
best m,c is 1.390000,11.770000 with error 11.999589 in direction 0
best m,c is 1.390000,11.780000 with error 11.996797 in direction 0
best m,c is 1.390000,11.790000 with error 11.994013 in direction 0
best m,c is 1.390000,11.800000 with error 11.991236 in direction 0
best m,c is 1.390000,11.810000 with error 11.988467 in direction 0
best m,c is 1.390000,11.820000 with error 11.985706 in direction 0
best m,c is 1.390000,11.830000 with error 11.982953 in direction 0
best m,c is 1.390000,11.840000 with error 11.980207 in direction 0
best m,c is 1.390000,11.850000 with error 11.977469 in direction 0
best m,c is 1.390000,11.860000 with error 11.974739 in direction 0
best m,c is 1.390000,11.870000 with error 11.972016 in direction 0
best m,c is 1.390000,11.880000 with error 11.969301 in direction 0
best m,c is 1.390000,11.890000 with error 11.966594 in direction 0
best m,c is 1.390000,11.900000 with error 11.963895 in direction 0
best m,c is 1.390000,11.910000 with error 11.961203 in direction 0
best m,c is 1.390000,11.920000 with error 11.958520 in direction 0
best m,c is 1.390000,11.930000 with error 11.955844 in direction 0
best m,c is 1.390000,11.940000 with error 11.953175 in direction 0
best m,c is 1.390000,11.950000 with error 11.950515 in direction 0
best m,c is 1.390000,11.960000 with error 11.947862 in direction 0
best m,c is 1.390000,11.970000 with error 11.945217 in direction 0
best m,c is 1.390000,11.980000 with error 11.942580 in direction 0
best m,c is 1.390000,11.990000 with error 11.939951 in direction 0
best m,c is 1.390000,12.000000 with error 11.937329 in direction 0
best m,c is 1.390000,12.010000 with error 11.934715 in direction 0
best m,c is 1.390000,12.020000 with error 11.932109 in direction 0
best m,c is 1.390000,12.030000 with error 11.929511 in direction 0
best m,c is 1.390000,12.040000 with error 11.926921 in direction 0
best m,c is 1.390000,12.050000 with error 11.924338 in direction 0
best m,c is 1.390000,12.060000 with error 11.921764 in direction 0
best m,c is 1.390000,12.070000 with error 11.919197 in direction 0
best m,c is 1.390000,12.080000 with error 11.916638 in direction 0
best m,c is 1.390000,12.090000 with error 11.914087 in direction 0
best m,c is 1.390000,12.100000 with error 11.911544 in direction 0
best m,c is 1.390000,12.110000 with error 11.909008 in direction 0
best m,c is 1.390000,12.120000 with error 11.906480 in direction 0
best m,c is 1.390000,12.130000 with error 11.903961 in direction 0
best m,c is 1.390000,12.140000 with error 11.901449 in direction 0
best m,c is 1.380000,12.150000 with error 11.898788 in direction 7
best m,c is 1.380000,12.160000 with error 11.895883 in direction 0
best m,c is 1.380000,12.170000 with error 11.892985 in direction 0
best m,c is 1.380000,12.180000 with error 11.890096 in direction 0
best m,c is 1.380000,12.190000 with error 11.887214 in direction 0
best m,c is 1.380000,12.200000 with error 11.884339 in direction 0
best m,c is 1.380000,12.210000 with error 11.881473 in direction 0
best m,c is 1.380000,12.220000 with error 11.878614 in direction 0
best m,c is 1.380000,12.230000 with error 11.875763 in direction 0
best m,c is 1.380000,12.240000 with error 11.872919 in direction 0
best m,c is 1.380000,12.250000 with error 11.870083 in direction 0
